,0,1
353,144@3830,1956
354,147@3800,"1714,891,1423,2073,1096,738"
355,56@3730,"1044,1303,1874"
356,128@5132,"77,1155,1155"
357,0@3137,136
358,94@1284,"1213,1650,186,1213"
359,78@2639,605
360,92@4647,"941,268,11"
361,92@3514,596
362,39@2076,"1869,268,1369,1928"
363,14@1035,"268,1874"
364,19@1800,"1176,1874"
365,88@1752,"941,202,249,1946"
366,15@515,268
367,134@513,"1368,1425"
368,42@3049,"1669,1913,586"
369,3@2159,"1708,1267"
370,72@187,"776,705,1931"
371,76@502,"635,1815"
372,93@4542,"581,268,186,1213"
373,10@3966,941
374,29@1517,243
375,70@89,941
376,151@3092,"1145,268,161,1441,324"
377,132@5084,186
378,118@3753,1423
379,92@2477,"792,1068"
380,100@5254,69
381,101@1473,"1224,142,1126"
382,100@4306,"694,1023"
383,142@3855,"835,2052,565"
384,88@4389,1093
385,109@5067,"551,35,998,246"
386,18@4784,"1310,1046,516,1859,1243"
387,137@507,1375
388,31@3118,"1418,1889,546,1273"
389,112@1982,"1632,2071,445,969"
390,61@2995,1213
391,90@4438,"584,694,1628,1023,1104"
392,28@3140,"1397,1874"
393,34@1892,"21,460,1670,1479"
394,56@2417,1546
395,81@4379,1874
396,56@3221,1387
397,99@4942,"1093,1931,1813"
398,18@3335,607
399,76@414,"1189,268,635,777,565,2074"
400,149@1137,643
401,149@3422,"186,1172"
402,39@594,"1674,581,1842,835,1796,643,256,1423,1038,1213,1275,351,1243,186"
403,127@1582,1473
404,143@958,2016
405,31@2239,"243,186,2073,731,1315,1213,581,1334,969"
406,63@3870,1873
407,104@4507,"1873,694,1874,2073,1213"
408,103@3759,"1155,1815"
409,25@1156,"635,835,1155,565,1631,2003,1928,547,1243,1717"
410,1@4233,545
411,75@3561,"1455,417"
412,127@4500,"2016,531,898,2016"
413,86@1509,"249,2071,249,1104"
414,34@4630,"1954,1484,186"
415,99@2705,"152,1650,385,385"
416,89@2600,"545,1874"
417,16@39,"992,1674,835"
418,114@2769,"689,869,1213"
419,149@994,1956
420,15@3373,646
421,62@174,"1301,1433,1210"
422,152@147,"777,1567"
423,128@4668,"268,581,509,618,1873"
424,92@734,"689,186,1213"
425,75@551,186
426,22@4307,"428,1972"
427,44@4801,"152,1189,689"
428,114@144,"1543,847,479,255,1104"
429,18@4471,"1940,1688,565"
430,10@3247,"1093,1931,85,1738,1650,137,1016,526,1461,1888,1928,605,941,1093,1752,2037,583,1608,2071,2062,249,1888,731,605,1931,1732,1888,2073"
431,121@2671,2016
432,17@4003,1423
433,95@3,"268,565"
434,88@560,152
435,91@231,1874
436,87@1003,"249,643,736,643"
437,79@185,"1213,1956,731"
438,131@2066,"108,545,1956,77,77"
439,114@431,694
440,48@1801,"1479,1849"
441,39@2383,"508,1210"
442,63@2761,294
443,83@924,"152,274,1261,186,351,2042,491,676,559,888,1321"
444,56@3877,"142,581,835,643,1368,1567,1992,1423,1213"
445,147@1300,"2037,142,1738,2079,230,1888"
446,144@1170,"835,1129,186,1213"
447,59@526,"565,605,1491,605"
448,146@1688,"2037,1931,792,137,526,765"
449,92@2770,"581,941,581,397,1126,62,61,1354"
450,146@4964,"142,1874"
451,88@2393,"1397,61"
452,24@2978,1956
453,50@185,"928,83,835,596,15"
454,102@5011,"746,186,137"
455,42@1217,"731,1690,736,137,526"
456,16@5182,"294,428"
457,27@2534,"1869,186,1567,1058,605"
458,147@4906,"297,1874"
459,88@825,"777,1213"
460,147@1134,"1023,2048,1521"
461,7@4046,"1873,1126,987,62,1213"
462,114@1565,835
463,56@2018,"1769,212,694,1479,1444"
464,146@4482,"785,1730"
465,64@545,"926,1135,1423,605"
466,119@659,1213
467,39@4627,"1315,428,476"
468,75@678,"1224,1210,731,694"
469,7@823,"646,605,605"
470,37@4553,1874
471,109@1923,"289,1977,1710,1928,1213"
472,138@1211,1874
473,37@4757,"1423,1514"
474,50@5160,"21,1670"
475,151@3460,646
476,58@4926,"941,324"
477,54@1289,1172
478,61@255,186
479,2@4688,"590,491,736,476"
480,42@3054,"565,137,727,496,1732,992"
481,132@3042,"777,565"
482,119@2358,"694,1692"
483,2@1906,"1731,709"
484,86@2813,"508,186,1093"
485,81@3816,"1092,1019"
486,37@2653,1243
487,54@3091,"186,607,186,1397,1213"
488,22@2193,"186,799,761"
489,50@4935,"101,607,736,1363,980,1215,1941,605,1941"
490,31@5152,"1009,1529"
491,102@389,"1096,1397,1874,1479,385"
492,37@4278,"1458,964,428,1928"
493,4@2236,"1869,2043,1078,1873,565,1213,324,2073"
494,37@199,"268,1487,1956,312"
495,3@1975,"100,186,246"
496,149@491,"941,1078"
497,16@2182,1479
498,36@2123,"1278,1777"
499,92@989,"445,445"
500,91@1888,"1479,1210,1514"
501,16@4104,"268,460,1479"
502,97@638,476
503,26@3640,222
504,60@622,"694,1352"
505,83@796,"1273,655"
506,96@2835,"186,675,1479,186"
507,44@798,"163,934"
508,62@3917,"1213,1248,186,246,1213,186"
509,92@2722,"268,423,515"
510,141@2338,21
511,10@3323,"1402,592,256"
512,37@2557,"1479,1273"
513,18@5020,"596,1643"
514,99@3844,"1441,1479"
515,30@2834,"508,1005,2089"
516,59@2693,"757,1889,556,243"
517,92@453,"1078,1023,1914"
518,42@4669,"592,1267,246,1928,1118,596"
519,92@1538,"152,941,581,1078,1213,214,476"
520,41@2511,1925
521,26@3346,"1372,689,268,1155,460,565,1874"
522,70@39,"581,581,509,1213,856,143,491,1096,1743,304"
523,39@3555,"1046,1536,1963,926"
524,10@3989,795
525,47@5059,"1023,596"
526,72@1648,"142,946"
527,29@2690,581
528,131@340,"1479,1278"
529,19@3810,"539,777,1536"
530,78@3046,"2079,191,1567"
531,26@5184,"1093,777,137,437,1263,137"
532,87@3139,"355,1479,1164,736"
533,145@5154,1146
534,129@3797,"1273,1867"
535,120@4954,"293,689,969,327"
536,67@1002,"795,1979"
537,92@4983,"1213,689,1397,1479"
538,144@3264,"268,581,835,777,1213"
539,140@2845,"757,1096,186,2046,230,1928,1213,345"
540,144@3091,"1243,1405,152,1213"
541,108@3019,"941,1093,705,2071,605"
542,151@3300,"1780,246,913"
543,18@4021,"1155,186,596"
544,151@1864,"268,768,2087"
545,149@4548,1956
546,76@2080,"1372,293,83,1040,268,581,1873,1001,1071,1314,1213,77,1213"
547,64@3007,"1372,157,152,186,643,565,1378,799,992,1213"
548,64@4972,"1096,186,1874,757"
549,110@659,"1423,1213"
550,116@2209,"186,386,324,1956"
551,88@3570,"1654,1632"
552,89@1632,"705,182,1397"
553,56@868,"694,131,995,2073,1104"
554,99@4581,1657
555,54@2469,289
556,92@79,1023
557,92@4490,"581,941,1397"
558,90@807,"1213,1567,1213"
559,59@2234,"309,1200,975,236,127"
560,122@175,"1674,965,77,1155,1271"
561,3@4441,"711,1600"
562,140@1969,"47,1714,694,101,1023,1874,1319,1213,1277,1104"
563,106@2639,602
564,144@4758,"965,581,1886,2092,1677,1956,124,1213"
565,17@4549,"2016,961"
566,7@4778,"294,1341,1078"
567,98@4934,"428,2002"
568,83@3247,"1738,249,1738"
569,16@4940,"1172,1479,1521"
570,152@841,1315
571,100@2591,"361,506"
572,10@4808,"558,1873,143,186,565,1210,905,1407"
573,76@4681,1849
574,63@2986,"268,643,246,1956"
575,111@4168,"137,644,311,1023,644,311"
576,108@4804,"871,314,1874"
577,4@252,"736,1536,1479,1210,292"
578,88@798,"186,1880,1078"
579,1@3381,"460,186,604,1044,596"
580,92@1466,1397
581,61@695,1479
582,118@891,"62,644"
583,34@2651,445
584,151@2544,"1044,1780"
585,128@7,"152,888"
586,149@614,"1632,1023,1479,596,1419,1213"
587,75@4665,"278,1956"
588,89@298,"1757,1423"
589,30@3910,"565,230,1096,1567"
590,114@2315,1423
591,10@1367,"1897,891,491,643,1567,319,385,1162,1949,1096,246,1213"
592,64@1224,"705,757,643"
593,7@1919,1546
594,110@1880,"792,1397,2073,308,731"
595,56@4285,"1873,142,191,230,1213"
596,69@1312,1213
597,16@3173,943
598,99@3051,"1938,1397,1874,1213"
599,32@198,"1023,580"
600,46@3681,"294,2058"
601,16@416,1975
602,108@2227,"777,1874,1679,1931,186,30"
603,123@7,"2048,101"
604,98@4955,272
605,147@1444,1913
606,100@4294,"941,694,186,59,1104,959,186,1315"
607,151@4995,"592,786"
608,50@3964,"1503,1674,1040,835,509,1963,319,1213,731,914,456,1572"
609,100@1840,"460,1423,1369"
610,90@2712,"2034,589,588,565,931,565,277"
611,94@887,"289,1931,596"
612,50@258,88
613,4@3223,"69,1354,1479,428,1213,1305,428,1873,115,1692"
614,88@3531,"341,941,479"
615,142@2828,324
616,78@2218,"1567,446"
617,147@4277,"268,565,436,777"
618,28@289,1085
619,1@4631,"1397,88,952,1278"
620,29@1666,"1670,1085,1925,643,1479,1979,1062"
621,120@2532,"268,1979"
622,50@454,"47,1024,1692,1099,1023,731,1104,694,186,137,1639,1126,102,1475"
623,10@4062,"941,689,1729,280,1323,1210,1521,102,1888,845,2071,545,15,1403,557,2089,1033,1787,101,428,1706,1213,1546"
624,14@747,"1372,268,83"
625,77@4838,1818
626,146@3300,"689,929,1201,551,1155,145,186,738,501,1213,731,1874"
627,4@2939,"186,2031"
628,38@1293,"711,1409"
629,59@3010,"1023,924,228"
630,135@604,294
631,140@1135,1423
632,61@4416,"1567,596,1567,1479"
633,110@645,"1897,1096,331"
634,149@4077,"15,1126,1423"
635,113@1085,"1290,1078"
636,31@3800,"592,891,186,428,1213"
637,102@2234,596
638,8@3714,1423
639,3@3966,"592,1479,1956"
640,98@5132,"1839,186,565,901,604,931"
641,85@4097,1874
642,92@4159,"941,1224"
643,83@3904,"853,853"
644,142@3009,"1770,152,1155"
645,145@228,1091
646,52@1523,"581,1059,186,592"
647,80@2568,"581,565,588"
648,143@3357,560
649,88@3099,1397
650,31@398,"1873,186,1731,246,1129"
651,120@654,"268,1479,246,1243"
652,122@4459,"293,1155,835,1189,268"
653,48@1574,"24,581,1155,565,421,1372,268,1757"
654,132@869,"891,596,1279"
