,0,1
51,2070,"[[941, 3.9242343145200196], [1623, 3.9242343145200196], [943, 3.9242343145200196], [646, 4.523188311911529], [1213, 4.523188311911529], [2089, 3.9242343145200196], [605, 3.9242343145200196], [1530, 4.523188311911529], [102, 3.9242343145200196], [57, 3.9242343145200196], [546, 3.9242343145200196], [590, 3.9242343145200196], [1738, 3.9242343145200196], [186, 3.9242343145200196], [1273, 3.9242343145200196]]"
52,3390,"[[2016, 3.9242343145200196], [43, 3.9242343145200196], [1359, 3.9242343145200196], [186, 3.9242343145200196], [140, 3.9242343145200196], [125, 3.9242343145200196], [1913, 3.9242343145200196]]"
53,3958,"[[1363, 3.9242343145200196], [596, 4.523188311911529], [1441, 3.9242343145200196], [526, 3.9242343145200196], [2061, 3.9242343145200196], [1931, 3.9242343145200196], [479, 3.9242343145200196], [2073, 3.9242343145200196], [1548, 3.9242343145200196], [1023, 3.9242343145200196], [1407, 3.9242343145200196], [1650, 3.9242343145200196], [146, 3.9242343145200196], [293, 3.9242343145200196], [1983, 3.9242343145200196], [1880, 3.9242343145200196], [1928, 3.9242343145200196], [605, 4.523188311911529], [1403, 3.9242343145200196], [1868, 3.9242343145200196], [792, 3.9242343145200196], [992, 3.9242343145200196]]"
54,3260,"[[137, 4.523188311911529], [1583, 4.523188311911529], [289, 3.9242343145200196], [1654, 3.9242343145200196], [1874, 3.9242343145200196], [1932, 3.9242343145200196]]"
55,1979,"[[1972, 3.9242343145200196], [1941, 3.9242343145200196], [526, 3.9242343145200196], [605, 3.9242343145200196], [1099, 3.9242343145200196], [705, 3.9242343145200196], [1272, 3.9242343145200196], [1273, 3.9242343145200196], [428, 3.9242343145200196]]"
56,3397,"[[1213, 3.9242343145200196], [1719, 4.523188311911529], [581, 4.523188311911529], [969, 3.9242343145200196], [1372, 3.9242343145200196], [268, 3.9242343145200196], [1155, 3.9242343145200196], [640, 3.9242343145200196], [545, 3.9242343145200196], [1963, 3.9242343145200196], [1243, 3.9242343145200196], [1441, 3.9242343145200196]]"
57,2686,"[[163, 3.9242343145200196], [137, 3.9242343145200196], [1423, 3.9242343145200196]]"
58,946,"[[186, 3.9242343145200196], [1567, 3.9242343145200196], [385, 3.9242343145200196]]"
59,1571,"[[186, 3.9242343145200196], [1273, 3.9242343145200196], [62, 3.9242343145200196], [792, 3.9242343145200196], [596, 3.9242343145200196]]"
60,526,"[[186, 4.523188311911529], [605, 4.99981840852519], [565, 4.523188311911529], [1584, 3.9242343145200196], [1848, 3.9242343145200196], [1567, 4.523188311911529], [246, 4.810296507289733], [731, 4.928055160151634], [928, 3.9242343145200196], [152, 3.9242343145200196], [27, 3.9242343145200196], [806, 4.523188311911529], [1023, 4.523188311911529], [1213, 4.523188311911529], [1621, 4.523188311911529], [736, 3.9242343145200196], [87, 3.9242343145200196], [1096, 3.9242343145200196], [1009, 4.523188311911529], [1217, 3.9242343145200196], [526, 3.9242343145200196], [592, 3.9242343145200196], [2071, 3.9242343145200196], [493, 3.9242343145200196], [215, 3.9242343145200196], [1797, 3.9242343145200196], [1928, 4.523188311911529], [305, 3.9242343145200196], [694, 3.9242343145200196], [1889, 3.9242343145200196], [490, 3.9242343145200196], [1441, 3.9242343145200196], [428, 4.810296507289733], [1546, 3.9242343145200196], [1168, 3.9242343145200196], [146, 3.9242343145200196], [1874, 3.9242343145200196], [1853, 3.9242343145200196], [941, 3.9242343145200196], [1692, 3.9242343145200196], [1606, 3.9242343145200196], [1780, 3.9242343145200196], [1869, 4.523188311911529], [1046, 3.9242343145200196], [1423, 3.9242343145200196], [1384, 3.9242343145200196], [1491, 3.9242343145200196], [1953, 3.9242343145200196], [142, 3.9242343145200196], [705, 3.9242343145200196], [131, 3.9242343145200196], [643, 3.9242343145200196], [59, 3.9242343145200196], [1011, 3.9242343145200196], [199, 3.9242343145200196], [1236, 3.9242343145200196], [1078, 3.9242343145200196], [137, 4.523188311911529], [15, 3.9242343145200196], [992, 3.9242343145200196], [888, 3.9242343145200196], [689, 3.9242343145200196], [1873, 3.9242343145200196], [508, 3.9242343145200196]]"
