,0,1,2
232,100@3357,"[[1870, 1]]",4.0
233,10@171,"[[941, 1], [163, 1], [2081, 1]]",4.0
234,134@4248,"[[137, 1]]",5.0
235,43@117,"[[77, 1], [1155, 1], [186, 1], [565, 1], [1928, 1], [77, 1]]",3.0
236,122@810,"[[268, 1], [635, 1], [1155, 1], [1527, 1], [565, 1], [1867, 1]]",5.0
237,43@1749,"[[1155, 1], [643, 1], [1368, 1], [1928, 1], [1941, 1]]",5.0
238,40@2264,"[[142, 1], [1650, 1], [1454, 1], [731, 1]]",3.0
239,88@4284,"[[1671, 1]]",4.0
240,96@4989,"[[1135, 1], [1273, 1]]",4.0
241,114@755,"[[1869, 1], [186, 1], [1479, 1], [479, 1], [2073, 1], [731, 1]]",3.0
242,90@1892,"[[969, 1]]",4.0
243,29@2813,"[[1023, 1]]",2.0
244,24@4984,"[[268, 1]]",5.0
245,62@1123,"[[186, 1], [62, 1], [1423, 1], [1669, 1]]",5.0
246,35@3779,"[[1479, 1], [1650, 1]]",3.0
247,45@3852,"[[186, 1], [643, 1], [445, 1], [1947, 1]]",3.0
248,30@720,"[[1889, 1], [640, 1], [115, 1]]",4.0
249,108@1790,"[[256, 1], [176, 1]]",4.0
250,147@2726,"[[1963, 1], [1302, 1]]",4.0
251,52@3851,"[[268, 1], [581, 1], [755, 1], [565, 1], [1921, 1], [1867, 1], [538, 1]]",1.0
252,118@505,"[[941, 1], [689, 1], [246, 1], [1863, 1]]",3.0
253,19@1862,"[[581, 1], [835, 1], [1928, 1], [268, 1], [1487, 1]]",3.5
254,76@4556,"[[77, 1], [635, 1], [565, 1], [1850, 1], [547, 1]]",5.0
255,53@4524,"[[965, 1], [77, 1], [258, 1]]",5.0
256,42@388,"[[845, 1], [689, 1], [1433, 1], [1213, 1], [1946, 1]]",3.5
257,29@2398,"[[293, 1], [268, 1], [77, 1], [565, 1], [342, 1], [1928, 1], [1867, 1], [77, 1]]",4.0
258,92@5206,"[[596, 1]]",4.0
259,109@560,"[[47, 1], [731, 1], [293, 1]]",5.0
260,46@899,"[[1213, 1]]",5.0
261,59@4865,"[[1372, 1], [268, 1], [77, 1], [445, 1], [1468, 1]]",5.0
262,136@722,"[[2071, 1]]",2.0
263,15@4847,"[[2043, 1], [1869, 1], [186, 1], [342, 1], [556, 1]]",4.0
264,126@1616,"[[246, 1], [731, 1]]",5.0
265,149@2010,"[[643, 1], [1315, 1]]",4.0
266,152@1323,"[[268, 1]]",4.0
267,10@817,"[[689, 1], [845, 1], [1267, 1], [101, 1], [137, 1], [1423, 1], [605, 1]]",3.0
268,31@2023,"[[2079, 1], [1530, 1], [1273, 1], [646, 1], [1273, 1], [1423, 1]]",4.0
269,67@1264,"[[1503, 1], [1231, 1], [444, 1], [1928, 1], [1977, 1]]",3.0
270,79@797,"[[1347, 1]]",5.0
271,109@3889,"[[1657, 1], [140, 1]]",1.0
272,75@2227,"[[1093, 1], [380, 1], [1363, 1], [526, 1], [1963, 1]]",5.0
273,62@969,"[[15, 1], [736, 1], [428, 1]]",5.0
274,137@3555,"[[445, 1]]",4.0
275,147@4548,"[[293, 1], [565, 1], [249, 1], [1956, 1]]",4.0
276,3@1989,"[[186, 1], [644, 1]]",3.0
277,109@707,"[[2016, 1]]",1.0
278,149@2488,"[[1213, 1], [694, 1]]",4.0
279,8@4623,"[[764, 1]]",4.0
280,4@2732,"[[479, 1]]",3.0
281,52@4931,"[[88, 1], [1397, 1]]",3.0
282,149@48,"[[1479, 1], [1009, 1]]",3.0
283,86@2220,"[[186, 1], [1542, 1]]",5.0
284,92@3665,"[[689, 1], [256, 1]]",3.5
285,75@202,"[[1093, 1], [53, 1], [1023, 1], [53, 1], [746, 1]]",3.5
286,76@1909,"[[152, 1], [1155, 1], [556, 1], [1599, 1], [1857, 1]]",3.0
287,146@3975,"[[1273, 1]]",3.0
288,92@4711,"[[1639, 1], [1273, 1]]",3.0
289,139@3454,"[[1688, 1]]",4.0
290,92@1318,"[[1273, 1], [1639, 1], [1423, 1], [662, 1]]",2.5
